bac_type,bac_type_id,bac_type_name,extracted_at,extraction_phase,field_of_study,final_merge_timestamp,governorate,institution,ramz_code,ramz_id,ramz_link,score_2011,score_2012,score_2013,score_2014,score_2015,score_2016,score_2017,score_2018,score_2019,score_2020,score_2021,score_2022,score_2023,score_2024,scores_corrected_at,seven_percent,specialization_code_detailed,study_duration,table_criteria,table_institution,table_location,table_specialization,table_university,university,university_id,university_name
,5,العلوم التقنية,2025-07-11T18:34:19.042192,detailed,العلوم الإقتصادية وعلوم التصرف : العلوم الإقتصادية وعلوم التصرف,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",22318,522318,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=522318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.1985,129.17,126.61,136.8851,144.4126,2025-07-11T22:52:50.177847,نعم,,سنوات,FG+M,كلية العلوم الإقتصادية والتصرف بنابل,نابل,الإجازة في علوم التصرف,جامعة قرطاج,,04,جامعة  قرطاج
,6,علوم الإعلامية,2025-07-11T18:34:18.883446,detailed,العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",20524,620524,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=620524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.8416,109.9875,128.645,132.0125,144.705,147.115,2025-07-11T22:52:54.050969,نعم,,سنوات,FG+(M+Algo)/2,كلية العلوم ببنزرت,بنزرت,الإجازة في هندسة نظم الإعلامية,جامعة قرطاج,,04,جامعة  قرطاج
,4,إقتصاد وتصرف,2025-07-11T18:34:18.729748,detailed,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10611,410611,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.625,104.3506,122.2475,113.975,91.6592,98.26,2025-07-11T22:52:58.015239,نعم,,سنوات,FG+(AR+ANG+F+PH)/4,معهد الصحافة وعلوم الإخبار,تونس,الإجازة في الصحافة,جامعة منوبة,,02,جامعة منوبة
,3,علوم تجريبية,2025-07-11T18:34:19.132130,detailed,الهندسة المعمارية والمراحل التحضيرية العلمية : الهندسة المعمارية والمراحل التحضيرية العلمية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",11422,311422,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=311422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.94,146.505,138.025,123.495,2025-07-11T22:53:01.962275,نعم,,سنوات,FG+(M+SP)/2,كلية العلوم بتونس,تونس,المرحلة التحضيرية العلمية: فيزياء - كيمياء,جامعة تونس المنار,,03,جامعة تونس المنار
,5,العلوم التقنية,2025-07-11T18:34:18.948057,detailed,الهندسة المعمارية والمراحل التحضيرية العلمية : الهندسة المعمارية والمراحل التحضيرية العلمية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10532,510532,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510532,152.8013,153.505,143.83,148.33,151.98,145.7,140.83,138.905,161.875,165.5633,169.1317,152.405,157.8633,154.9633,2025-07-11T22:53:06.160668,نعم,,سنوات,FG+(M+SP+TE)/3,المعهد التحضيري للدراسات الهندسية بالمنار,تونس,مرحلة تحضيرية - تكنولوجيا,جامعة تونس المنار,,03,جامعة تونس المنار
,3,علوم تجريبية,2025-07-11T18:34:18.949055,detailed,الهندسة المعمارية والمراحل التحضيرية العلمية : الهندسة المعمارية والمراحل التحضيرية العلمية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",12832,312832,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=312832,137.388,128.75,128.25,117.95,125.175,123.25,125.525,113.15,123.1883,125.7417,131.4083,107.2544,114.1867,110.7689,2025-07-11T22:53:10.499185,نعم,,سنوات,FG+(M+SP+SVT)/3,المعهد العالى للدراسات التحضيرية في البيولوجيا و الجولوجيا بسكرة,تونس,مرحلة تحضيرية: بيولوجيا - جيولوجيا,جامعة قرطاج,,04,جامعة  قرطاج
,3,علوم تجريبية,2025-07-11T18:34:19.163495,detailed,العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",11502,311502,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=311502,95.775,94.1868,96.942,91.592,103.469,110.475,107.2675,92.7244,101.4949,96.2504,82.8873,87.009,87.1268,75.0398,2025-07-11T22:53:14.527598,نعم,,سنوات,FG+(M+SP)/2,المعهد العالي لعلوم و تكنولوجيات البيئة ببرج السدرية,تونس,الإجازة في الفيزياء و الكيمياء,جامعة قرطاج,,04,جامعة  قرطاج
,2,رياضيات,2025-07-11T18:34:18.636751,detailed,العلوم الإقتصادية وعلوم التصرف : العلوم الإقتصادية وعلوم التصرف,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",13318,213318,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=213318,135.8633,134.499,147.0448,145.1723,144.7443,143.2998,144.6908,141.7483,128.3251,134.515,155.5245,158.9111,109.231,131.2997,2025-07-11T22:53:18.558543,نعم,,سنوات,FG+M,كلية العلوم الإقتصادية والتصرف بتونس,تونس,الإجازة في علوم التصرف,جامعة تونس المنار,,03,جامعة تونس المنار
,4,إقتصاد وتصرف,2025-07-11T18:34:33.782820,detailed,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10123,410123,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.9583,105.0224,84.5517,79.7508,92.7851,80.8632,2025-07-11T22:53:22.535557,نعم,,سنوات,FG+(F+HG)/2,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في التاريخ,جامعة تونس,,01,جامعة تونس
,5,العلوم التقنية,2025-07-11T18:34:33.969010,detailed,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10104,510104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7173,118.2136,120.84,125.7678,116.77,0.0,2025-07-11T22:53:26.513084,نعم,,سنوات,FG+ESP,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإسبانية,جامعة منوبة,,02,جامعة منوبة
